Data has been correctly loaded from ../../config/files/json_paths.yaml file
Data has been correctly loaded from ../../config/files/datastore_paths.yaml file
Data has been correctly loaded from ../../data/datastores/cpg950_coding_genes_original_data.json file
Key: ACOT13, Methylation Islands Number: 88
Key: ACOT2, Methylation Islands Number: 70
Key: ACOT4, Methylation Islands Number: 77
Key: ACOT6, Methylation Islands Number: 69
Key: ACOT7, Methylation Islands Number: 147
Key: ACOT8, Methylation Islands Number: 196
Key: ACOT9, Methylation Islands Number: 73
Key: ACOX1, Methylation Islands Number: 134
Key: ACOX2, Methylation Islands Number: 104
Key: ACOX3, Methylation Islands Number: 153
Key: ACOXL, Methylation Islands Number: 60
Key: ACP1, Methylation Islands Number: 137
Key: ACP2, Methylation Islands Number: 168
Key: ACP5, Methylation Islands Number: 131
Key: ACP6, Methylation Islands Number: 55
Key: ACR, Methylation Islands Number: 67
Key: ACRBP, Methylation Islands Number: 191
Key: ACRV1, Methylation Islands Number: 53
Key: ACSBG1, Methylation Islands Number: 114
Key: ACSBG2, Methylation Islands Number: 63
Key: ACSF2, Methylation Islands Number: 150
Key: ACSF3, Methylation Islands Number: 250
Key: ACSL1, Methylation Islands Number: 109
Key: ACSL3, Methylation Islands Number: 60
Key: ACSL4, Methylation Islands Number: 40
Key: ACSL5, Methylation Islands Number: 79
Key: ACSL6, Methylation Islands Number: 95
Key: ACSM1, Methylation Islands Number: 53
Key: ACSM2A, Methylation Islands Number: 26
Key: ACSM2B, Methylation Islands Number: 45
Key: ACSM3, Methylation Islands Number: 87
Key: ACSM5, Methylation Islands Number: 51
Key: ACSS1, Methylation Islands Number: 124
Key: ACSS2, Methylation Islands Number: 86
Key: ACSS3, Methylation Islands Number: 37
Key: ACTA1, Methylation Islands Number: 73
Key: ACTA2, Methylation Islands Number: 82
Key: ACTB, Methylation Islands Number: 168
Key: ACTBL2, Methylation Islands Number: 43
Key: ACTC1, Methylation Islands Number: 63
Key: ACTG1, Methylation Islands Number: 241
Key: ACTG2, Methylation Islands Number: 79
Key: ACTL10, Methylation Islands Number: 137
Key: ACTL6A, Methylation Islands Number: 57
Key: ACTL6B, Methylation Islands Number: 229
Key: ACTL7A, Methylation Islands Number: 45
Key: ACTL7B, Methylation Islands Number: 46
Key: ACTL8, Methylation Islands Number: 66
Key: ACTL9, Methylation Islands Number: 45
Key: ACTN1, Methylation Islands Number: 109
Key: ACTN2, Methylation Islands Number: 56
Key: ACTN3, Methylation Islands Number: 134
Key: ACTN4, Methylation Islands Number: 148
Key: ACTR10, Methylation Islands Number: 64
Key: ACTR1A, Methylation Islands Number: 100
Key: ACTR1B, Methylation Islands Number: 99
Key: ACTR2, Methylation Islands Number: 38
Key: ACTR3, Methylation Islands Number: 58
Key: ACTR3B, Methylation Islands Number: 30
Key: ACTR3C, Methylation Islands Number: 121
Key: ACTR5, Methylation Islands Number: 88
Key: ACTR6, Methylation Islands Number: 77
Key: ACTR8, Methylation Islands Number: 90
Key: ACTRT1, Methylation Islands Number: 3
Key: ACTRT2, Methylation Islands Number: 172
Key: ACVR1, Methylation Islands Number: 53
Key: ACVR1B, Methylation Islands Number: 147
Key: ACVR1C, Methylation Islands Number: 34
Key: ACVR2A, Methylation Islands Number: 37
Key: ACVR2B, Methylation Islands Number: 59
Key: ACVRL1, Methylation Islands Number: 130
Key: ACY1, Methylation Islands Number: 162
Key: ACY3, Methylation Islands Number: 157
Key: ACYP1, Methylation Islands Number: 124
Key: ACYP2, Methylation Islands Number: 37
Key: ADA, Methylation Islands Number: 100
Key: ADAD1, Methylation Islands Number: 36
Key: ADAD2, Methylation Islands Number: 127
Key: ADAL, Methylation Islands Number: 99
Key: ADAM10, Methylation Islands Number: 57
Key: ADAM11, Methylation Islands Number: 89
Key: ADAM12, Methylation Islands Number: 46
Key: ADAM15, Methylation Islands Number: 206
Key: ADAM17, Methylation Islands Number: 61
Key: ADAM18, Methylation Islands Number: 30
Key: ADAM19, Methylation Islands Number: 71
Key: ADAM2, Methylation Islands Number: 28
Key: ADAM20, Methylation Islands Number: 23
Key: ADAM21, Methylation Islands Number: 22
